Bucket,Family,Score,OriginalPath,CopiedPath,FileName,SizeBytes,LastWriteTime,CollectorTerms,MachineTerms,ReasonTerms,WriteTerms,SensitiveTerms,LikelyTestOrBackup
high_confidence_log_reasoners,arc_solver,42,H:\arc_production_solver\cod_616\modules\yolo_detector.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\d76b22e2aaa6__yolo_detector.py,yolo_detector.py,13211,2025-11-26T03:50:36,capture;perf,cpu;cv2.videocapture;input;keyboard;process;videocapture;webcam,detector;infer;inference;model;predict,,cv2.videocapture,False
high_confidence_log_reasoners,arc_solver,41,H:\arc_production_solver\cod_616\recognition\recognition_field.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\17fb300cffef__recognition_field.py,recognition_field.py,20069,2025-11-26T05:27:06,activity;capture;log;metric;metrics;telemetry,gamepad;input;network,analyze;classif;correlat;pattern;score,json.dump;open(,,False
high_confidence_log_reasoners,arc_solver,39,H:\arc_production_solver\arc_cli.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\ca78930da4c0__arc_cli.py,arc_cli.py,21417,2026-01-30T19:57:36,log;metric;perf;performance;trace,input;system,analyze;diagnostic;evaluate;pattern;predict;reason;reasoning,json.dump;open(,,False
high_confidence_log_reasoners,arc_solver,39,H:\arc_production_solver\cod_616\match_fingerprint_builder.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\5b291d0f8457__match_fingerprint_builder.py,match_fingerprint_builder.py,33175,2025-11-26T13:48:34,activity;event;watch,gamepad;input;movement;network;packet;process;system;trigger,correlat;pattern;score,,,False
high_confidence_log_reasoners,arc_solver,38,H:\arc_production_solver\cod_616\modules\network_telemetry.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\721e2fc27ba0__network_telemetry.py,network_telemetry.py,9273,2025-11-25T17:59:12,capture;history;metric;metrics;perf;telemetry,keyboard;network;packet;process;subprocess;system,pattern,,,False
high_confidence_log_reasoners,arc_solver,37,H:\arc_production_solver\cod_616\cod_live_runner.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\47e034e35c4a__cod_live_runner.py,cod_live_runner.py,18650,2025-11-26T05:27:06,capture;log;logging;monitor;telemetry,gamepad;input;keyboard;network,detector;model;score,json.dump;open(,,False
high_confidence_log_reasoners,arc_solver,36,H:\arc_production_solver\arc_organ\arc_operators.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\e3bdb48f917d__arc_operators.py,arc_operators.py,111807,2025-11-30T14:34:56,capture;log;metric;perf,input;movement,analyze;classif;detector;infer;inference;insight;pattern;reason;reasoning,,,False
high_confidence_log_reasoners,arc_solver,36,H:\arc_production_solver\cod_616\arc_organ\arc_operators.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\fdd6a5bca593__arc_operators.py,arc_operators.py,102089,2025-11-28T09:52:20,capture;log;metric;perf,input;movement,analyze;classif;detector;infer;inference;insight;pattern;reason;reasoning,,,False
high_confidence_log_reasoners,arc_solver,32,H:\arc_production_solver\cod_616\modules\gamepad_capture.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\42eb76fff642__gamepad_capture.py,gamepad_capture.py,10240,2025-11-25T17:59:12,capture;event;history;perf,gamepad;input;keyboard;movement;process;trigger,pattern,,,False
high_confidence_log_reasoners,arc_solver,31,H:\arc_production_solver\arc_organ\arc_task_runner.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\626066dc7120__arc_task_runner.py,arc_task_runner.py,9987,2025-11-26T21:33:28,log,input;thermal,analyze;classif;evaluate;infer;inference;pattern;predict;reason;reasoning;score,open(,,False
high_confidence_log_reasoners,arc_solver,31,H:\arc_production_solver\cod_616\arc_organ\arc_task_runner.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\4d4fcb662f79__arc_task_runner.py,arc_task_runner.py,9987,2025-11-26T21:33:28,log,input;thermal,analyze;classif;evaluate;infer;inference;pattern;predict;reason;reasoning;score,open(,,False
high_confidence_log_reasoners,arc_solver,30,H:\arc_production_solver\cod_616\modules\fusion_616_engine.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\eefc62714a09__fusion_616_engine.py,fusion_616_engine.py,14548,2025-11-26T05:02:52,capture;history;perf;telemetry,gamepad;input;network;process,correlat;pattern;score,,,False
high_confidence_log_reasoners,arc_solver,27,H:\arc_production_solver\arc_organ\arc_resonance_state_v2.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\9c906318ce5d__arc_resonance_state_v2.py,arc_resonance_state_v2.py,20676,2025-11-26T21:37:22,log;logging;metric;perf,input,pattern;reason;reasoning;score,.log;logging.,,False
high_confidence_log_reasoners,arc_solver,27,H:\arc_production_solver\cod_616\arc_organ\arc_resonance_state_v2.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\e2ce06bac587__arc_resonance_state_v2.py,arc_resonance_state_v2.py,20676,2025-11-26T21:37:22,log;logging;metric;perf,input,pattern;reason;reasoning;score,.log;logging.,,False
high_confidence_log_reasoners,arc_solver,26,H:\arc_production_solver\cod_616\recognition\recognition_cli.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\746d2a47acad__recognition_cli.py,recognition_cli.py,12774,2025-11-26T05:27:06,log;metric;metrics;telemetry,gamepad;network,analyze;score,json.dump;open(,,False
high_confidence_log_reasoners,arc_solver,25,H:\arc_production_solver\tools\system_status_report.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\dc78dcc28b79__system_status_report.py,system_status_report.py,8787,2025-11-30T17:15:20,log;metric;metrics;perf;performance;session,system,pattern,.jsonl,,False
high_confidence_log_reasoners,arc_solver,23,H:\arc_production_solver\cod_616\modules\audio_resonance_state.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\5e786bcc94eb__audio_resonance_state.py,audio_resonance_state.py,19958,2025-11-26T13:48:34,activity;event;history;log,process,classif;correlat;score,.log,,False
high_confidence_log_reasoners,arc_solver,22,H:\arc_production_solver\arc_organ\arc_example_fuser.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\1506d0c7f1bc__arc_example_fuser.py,arc_example_fuser.py,13364,2025-11-26T21:41:12,log;metric;metrics,input,correlat;pattern;reason;reasoning;score,,,False
high_confidence_log_reasoners,arc_solver,22,H:\arc_production_solver\cod_616\arc_organ\arc_example_fuser.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\94dae160b70b__arc_example_fuser.py,arc_example_fuser.py,13364,2025-11-26T21:41:12,log;metric;metrics,input,correlat;pattern;reason;reasoning;score,,,False
high_confidence_log_reasoners,arc_solver,22,H:\arc_production_solver\cod_616\test_phase_7.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\8cb21bf8e44b__test_phase_7.py,test_phase_7.py,8562,2025-11-26T05:27:06,capture;metric;metrics;telemetry,gamepad;network,analyze;score,,,False
high_confidence_log_reasoners,arc_solver,21,H:\arc_production_solver\arc_organ\arc_rule_hypothesis.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\2e827ac2f106__arc_rule_hypothesis.py,arc_rule_hypothesis.py,26115,2025-11-27T19:10:02,perf,input;system,analyze;detector;pattern;predict;reason;reasoning,,,False
high_confidence_log_reasoners,arc_solver,21,H:\arc_production_solver\cod_616\arc_organ\arc_rule_hypothesis.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\4d44d0c63c12__arc_rule_hypothesis.py,arc_rule_hypothesis.py,26115,2025-11-27T19:10:02,perf,input;system,analyze;detector;pattern;predict;reason;reasoning,,,False
high_confidence_log_reasoners,arc_solver,21,H:\arc_production_solver\engines\anchor_analyzer.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\f8aed864e1f5__anchor_analyzer.py,anchor_analyzer.py,17612,2025-11-30T18:07:34,perf,input;system,analyse;analyze;analyzer;reason;reasoning;score,,,False
high_confidence_log_reasoners,arc_solver,21,H:\arc_production_solver\tools\expand_rules_with_math.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\d4d8280e829f__expand_rules_with_math.py,expand_rules_with_math.py,9466,2025-11-30T15:15:50,metric,input;process,analyze;pattern,.jsonl;.write(;json.dump;open(,,False
high_confidence_log_reasoners,arc_solver,20,H:\arc_production_solver\arc_organ\arc_recognition_field.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\5f050450a35f__arc_recognition_field.py,arc_recognition_field.py,14749,2025-11-26T20:59:06,log,input,classif;decision;detector;pattern;reason;reasoning;score,,,False
high_confidence_log_reasoners,arc_solver,20,H:\arc_production_solver\arc_organ\color_engine.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\40fd468b37e2__color_engine.py,color_engine.py,23883,2025-11-30T17:15:20,log,input,classif;infer;pattern;predict;reason;reasoning;score,,,False
high_confidence_log_reasoners,arc_solver,20,H:\arc_production_solver\cod_616\arc_organ\arc_recognition_field.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\1ca7266d69b6__arc_recognition_field.py,arc_recognition_field.py,14749,2025-11-26T20:59:06,log,input,classif;decision;detector;pattern;reason;reasoning;score,,,False
high_confidence_log_reasoners,arc_solver,18,H:\arc_production_solver\cod_616\test_yolo_performance.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\5aae45654abb__test_yolo_performance.py,test_yolo_performance.py,4028,2025-11-25T20:12:18,capture;perf;performance,input,detector;infer;inference,,,False
high_confidence_log_reasoners,arc_solver,17,H:\arc_production_solver\arc_core.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\8de1ac8e8cf0__arc_core.py,arc_core.py,31466,2025-11-30T17:21:12,log;trace,input,analyze;pattern;reason;reasoning,,,False
high_confidence_log_reasoners,arc_solver,17,H:\arc_production_solver\arc_organ\arc_pixel_metadata.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\5dec034ce7bf__arc_pixel_metadata.py,arc_pixel_metadata.py,18632,2025-11-26T21:29:28,perf,input;system,classif;pattern;reason;score,,,False
high_confidence_log_reasoners,arc_solver,17,H:\arc_production_solver\cod_616\arc_organ\arc_pixel_metadata.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\4acd529435d0__arc_pixel_metadata.py,arc_pixel_metadata.py,18632,2025-11-26T21:29:28,perf,input;system,classif;pattern;reason;score,,,False
high_confidence_log_reasoners,arc_solver,17,H:\arc_production_solver\tools\generate_close_match_report.py,H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\c9928bda2680__generate_close_match_report.py,generate_close_match_report.py,7085,2025-11-30T17:55:56,,input,analyze;classif;pattern;reason;reasoning,json.dump;open(,,False
